item_id,question_id,domain,subcategory,difficulty,answer_type,question_text
HB_EXP1_0001,arithmetic_v2_estimation_0026,arithmetic,estimation,,short_text,About how many minutes are in 2 hours and 45 minutes?
HB_EXP1_0002,arithmetic_v2_mental_calculation_0001,arithmetic,mental_calculation,,exact_numeric,"A group of friends want to share some candy equally. If they have 48 pieces and there are 6 friends, how many pieces will each friend get?"
HB_EXP1_0003,arithmetic_v2_numerical_reasoning_0040,arithmetic,numerical_reasoning,,short_text,"Which of the following numbers is the smallest: 0.2, 1/5, or 20%?"
HB_EXP1_0004,arithmetic_v2_unit_conversion_0033,arithmetic,unit_conversion,,exact_numeric,"A cup holds 0.5 liters of water. If 1 liter is equal to 1 kilogram, how many grams is that?"
HB_EXP1_0005,arithmetic_v2_word_problems_0018,arithmetic,word_problems,,exact_numeric,"A storage room has 20 shelves, and each shelf can hold 12 containers. If the storage room is currently empty, how many containers can be placed on the shelves in total?"
HB_EXP1_0006,arithmetic_v2_estimation_0024,arithmetic,estimation,,short_text,About how many centimeters are in 2.5 kilometers?
HB_EXP1_0007,arithmetic_v2_mental_calculation_0007,arithmetic,mental_calculation,,exact_numeric,"A library has 502 books on a shelf. If 221 books are borrowed, how many books are left on the shelf?"
HB_EXP1_0008,arithmetic_v2_numerical_reasoning_0042,arithmetic,numerical_reasoning,,short_text,Compare 0.8 and 80% of a quantity. Which is larger?
HB_EXP1_0009,arithmetic_v2_unit_conversion_0031,arithmetic,unit_conversion,,exact_numeric,"If a recipe requires 50 grams of flour, how many kilograms is that?"
HB_EXP1_0010,arithmetic_v2_word_problems_0011,arithmetic,word_problems,,exact_numeric,"A bookshelf has 5 shelves, and each shelf can hold 12 books. If the bookshelf is currently empty, how many books can be placed on it in total?"
HB_EXP1_0011,arithmetic_v2_estimation_0029,arithmetic,estimation,,short_text,"If a person can read 80 pages per hour, about how many pages can they read in 9 hours?"
HB_EXP1_0012,arithmetic_v2_mental_calculation_0009,arithmetic,mental_calculation,,exact_numeric,"A store has 24 boxes. If 8 more boxes are delivered, how many boxes does the store have now?"
HB_EXP1_0013,arithmetic_v2_numerical_reasoning_0047,arithmetic,numerical_reasoning,,short_text,"Rank these numbers in order from smallest to largest: 0.1, 0.2, 0.25"
HB_EXP1_0014,arithmetic_v2_unit_conversion_0036,arithmetic,unit_conversion,,exact_numeric,A radio show is 15 minutes long. How many quarter-hours is that?
HB_EXP1_0015,arithmetic_v2_word_problems_0014,arithmetic,word_problems,,exact_numeric,"A group of coworkers want to share some donuts equally. If they have 96 donuts and there are 16 coworkers, how many donuts will each coworker get?"
HB_EXP1_0016,arithmetic_v2_estimation_0026,arithmetic,estimation,,short_text,About how many hours are in 0.5 days?
HB_EXP1_0017,arithmetic_v2_mental_calculation_0005,arithmetic,mental_calculation,,exact_numeric,A student has 24 pencils in a box. She gives 4 pencils to her friend. How many pencils does she have left?
HB_EXP1_0018,arithmetic_v2_numerical_reasoning_0046,arithmetic,numerical_reasoning,,short_text,"Which is largest: 15% of 200, 10% of 300, or 20% of 250?"
HB_EXP1_0019,arithmetic_v2_unit_conversion_0037,arithmetic,unit_conversion,,exact_numeric,A pencil weighs 0.1 kilograms. How many grams is that?
HB_EXP1_0020,arithmetic_v2_word_problems_0019,arithmetic,word_problems,,exact_numeric,"A fruit stand owner has 24 baskets of pineapples to sell. Each basket contains 4 pineapples. If he sells 6 baskets, how many pineapples does he have left?"
HB_EXP1_0021,arithmetic_v2_estimation_0022,arithmetic,estimation,,short_text,About how many hours are in 5 days?
HB_EXP1_0022,arithmetic_v2_mental_calculation_0002,arithmetic,mental_calculation,,exact_numeric,"A library lends 417 books in the morning. If they had 337 books initially, how many books did they acquire?"
HB_EXP1_0023,arithmetic_v2_numerical_reasoning_0044,arithmetic,numerical_reasoning,,short_text,"Rank the following decimals from smallest to largest: 0.3, 0.9, 0.1"
HB_EXP1_0024,arithmetic_v2_unit_conversion_0032,arithmetic,unit_conversion,,exact_numeric,A jogger finished a short run in 45 minutes. How many hours did it take?
HB_EXP1_0025,factual_v2_cross_domain_trivia_0047,factual,cross_domain_trivia,,short_text,"The acclaimed geologist Mary Anning wrote a popular science book called 'The Fossil Hunter', which explores the concept of which phenomenon that she is also known for discovering?"
HB_EXP1_0026,factual_v2_culture_0038,factual,culture,,short_text,Who wrote the famous novel 'Pride and Prejudice'?
HB_EXP1_0027,factual_v2_geography_0005,factual,geography,,short_text,What is the capital of Japan?
HB_EXP1_0028,factual_v2_history_0028,factual,history,,short_text,Who was the English queen who ruled during the 16th century and is famous for being a virgin?
HB_EXP1_0029,factual_v2_science_0018,factual,science,,short_text,What is the scientific term for the preserved remains of prehistoric creatures?
HB_EXP1_0030,factual_v2_cross_domain_trivia_0044,factual,cross_domain_trivia,,short_text,What type of rock is formed from the cooling and solidification of magma or lava?
HB_EXP1_0031,factual_v2_culture_0032,factual,culture,,short_text,Who composed the symphony 'Symphony No. 5'?
HB_EXP1_0032,factual_v2_geography_0008,factual,geography,,short_text,What is the most well-known city in China?
HB_EXP1_0033,factual_v2_history_0024,factual,history,,short_text,Who led China during World War II?
HB_EXP1_0034,factual_v2_science_0017,factual,science,,short_text,What is the chemical formula for carbon dioxide?
HB_EXP1_0035,factual_v2_cross_domain_trivia_0045,factual,cross_domain_trivia,,short_text,What is the chemical symbol for the lightest element?
HB_EXP1_0036,factual_v2_culture_0031,factual,culture,,short_text,Who painted 'The Starry Night'?
HB_EXP1_0037,factual_v2_geography_0001,factual,geography,,short_text,Which river is the longest in North America?
HB_EXP1_0038,factual_v2_history_0025,factual,history,,short_text,In what year did the Great Fire of London occur?
HB_EXP1_0039,factual_v2_science_0019,factual,science,,short_text,"What is the speed of light in a vacuum, in kilometers per hour?"
HB_EXP1_0040,factual_v2_cross_domain_trivia_0042,factual,cross_domain_trivia,,short_text,"Who was the husband of Mary Shelley, the author of 'Frankenstein'?"
HB_EXP1_0041,factual_v2_culture_0034,factual,culture,,short_text,Who is credited with the invention of the light bulb?
HB_EXP1_0042,factual_v2_geography_0007,factual,geography,,short_text,What is the world's largest rainforest by area?
HB_EXP1_0043,factual_v2_history_0022,factual,history,,short_text,What was the name of the treaty that ended the Franco-Prussian War?
