item_id,question_id,domain,subcategory,difficulty,empirical_hardness,empirical_hardness_obs,empirical_accuracy,answer_type,question_text,participant_answer,participant_confidence,notes
HB_EXP1_0001,arithmetic_v2_estimation_0025,arithmetic,estimation,,1.0,5,0.0,short_text,"If a family wants to share some cookies equally, and they have 60 cookies, about how many cookies will each family member get if there are 10 family members?",About 6 cookies,0.71,
HB_EXP1_0002,arithmetic_v2_numerical_reasoning_0049,arithmetic,numerical_reasoning,,1.0,11,0.0,short_text,"Compare the values of 0.1, 1/10, and 10%.","1/10 (= 0.1) and 10% are equal, and 0.1 is also equal to them",0.71,
HB_EXP1_0003,arithmetic_v2_unit_conversion_0035,arithmetic,unit_conversion,,1.0,5,0.0,exact_numeric,"A runner travels 3 kilometers in 1 hour. If you want to know how many meters it traveled, what is the answer in meters?",3000,0.71,
HB_EXP1_0004,arithmetic_v2_word_problems_0006,arithmetic,word_problems,,0.75,12,0.25,exact_numeric,Tom has $15 in his pocket. He wants to buy a toy that costs $20. His mom gives him $3. Does Tom have enough money to buy the toy?,"No, he still needs $2",0.71,
HB_EXP1_0005,arithmetic_v2_estimation_0025,arithmetic,estimation,,1.0,5,0.0,short_text,"If a group of siblings want to share some stickers equally, and they have 40 stickers, about how many stickers will each sibling get if there are 5 siblings?",About 8 stickers,0.71,
HB_EXP1_0006,arithmetic_v2_numerical_reasoning_0045,arithmetic,numerical_reasoning,,1.0,10,0.0,short_text,"Compare the values of 0.3, 0.2, and 30%.","0.3 is the largest, 0.2 is in the middle, and 30% is the smallest",0.71,
HB_EXP1_0007,arithmetic_v2_unit_conversion_0035,arithmetic,unit_conversion,,1.0,5,0.0,exact_numeric,"If you have 500 grams of sugar, how many kilograms is that?",0.5,0.71,
HB_EXP1_0008,arithmetic_v2_estimation_0025,arithmetic,estimation,,1.0,5,0.0,short_text,"If a group of campers want to share some granola equally, and they have 90 pieces of granola, about how many pieces of granola will each camper get if there are 15 campers?",About 6 pieces,0.71,
HB_EXP1_0009,arithmetic_v2_numerical_reasoning_0049,arithmetic,numerical_reasoning,,1.0,11,0.0,short_text,"Compare the values of 1/2, 0.4, and 40%.","1/2 (= 0.5) is the largest, 0.4 is in the middle, and 40% is the smallest",0.71,
HB_EXP1_0010,arithmetic_v2_unit_conversion_0035,arithmetic,unit_conversion,,1.0,5,0.0,exact_numeric,"A car travels 8 kilometers in 2 hours. If you want to know how many meters it traveled, what is the answer in meters?",8000,0.71,
HB_EXP1_0011,arithmetic_v2_estimation_0022,arithmetic,estimation,,1.0,4,0.0,short_text,About how many hours are in a workweek?,About 120 hours,0.71,
