item_id,question_id,correct_answer,answer_type,domain
HB_EXP1_0001,arithmetic_v2_estimation_0026,About 165 minutes,short_text,arithmetic
HB_EXP1_0002,arithmetic_v2_mental_calculation_0001,8,exact_numeric,arithmetic
HB_EXP1_0003,arithmetic_v2_numerical_reasoning_0040,0.2,short_text,arithmetic
HB_EXP1_0004,arithmetic_v2_unit_conversion_0033,500,exact_numeric,arithmetic
HB_EXP1_0005,arithmetic_v2_word_problems_0018,240,exact_numeric,arithmetic
HB_EXP1_0006,arithmetic_v2_estimation_0024,About 250000 centimeters,short_text,arithmetic
HB_EXP1_0007,arithmetic_v2_mental_calculation_0007,281,exact_numeric,arithmetic
HB_EXP1_0008,arithmetic_v2_numerical_reasoning_0042,0.8 and 80% are equal,short_text,arithmetic
HB_EXP1_0009,arithmetic_v2_unit_conversion_0031,0.05,exact_numeric,arithmetic
HB_EXP1_0010,arithmetic_v2_word_problems_0011,60,exact_numeric,arithmetic
HB_EXP1_0011,arithmetic_v2_estimation_0029,About 720 pages,short_text,arithmetic
HB_EXP1_0012,arithmetic_v2_mental_calculation_0009,32,exact_numeric,arithmetic
HB_EXP1_0013,arithmetic_v2_numerical_reasoning_0047,"0.1, 0.2, 0.25",short_text,arithmetic
HB_EXP1_0014,arithmetic_v2_unit_conversion_0036,0.5,exact_numeric,arithmetic
HB_EXP1_0015,arithmetic_v2_word_problems_0014,6,exact_numeric,arithmetic
HB_EXP1_0016,arithmetic_v2_estimation_0026,12,short_text,arithmetic
HB_EXP1_0017,arithmetic_v2_mental_calculation_0005,20,exact_numeric,arithmetic
HB_EXP1_0018,arithmetic_v2_numerical_reasoning_0046,20% of 250 (50),short_text,arithmetic
HB_EXP1_0019,arithmetic_v2_unit_conversion_0037,100,exact_numeric,arithmetic
HB_EXP1_0020,arithmetic_v2_word_problems_0019,72,exact_numeric,arithmetic
HB_EXP1_0021,arithmetic_v2_estimation_0022,About 120 hours,short_text,arithmetic
HB_EXP1_0022,arithmetic_v2_mental_calculation_0002,80,exact_numeric,arithmetic
HB_EXP1_0023,arithmetic_v2_numerical_reasoning_0044,"0.1, 0.3, 0.9",short_text,arithmetic
HB_EXP1_0024,arithmetic_v2_unit_conversion_0032,0.75,exact_numeric,arithmetic
HB_EXP1_0025,arithmetic_v2_word_problems_0017,3,exact_numeric,arithmetic
HB_EXP1_0026,arithmetic_v2_estimation_0028,40 minutes,short_text,arithmetic
HB_EXP1_0027,arithmetic_v2_mental_calculation_0006,320,exact_numeric,arithmetic
HB_EXP1_0028,arithmetic_v2_numerical_reasoning_0042,1/2,short_text,arithmetic
HB_EXP1_0029,arithmetic_v2_unit_conversion_0038,1.80,exact_numeric,arithmetic
HB_EXP1_0030,arithmetic_v2_word_problems_0012,$13,exact_numeric,arithmetic
HB_EXP1_0031,arithmetic_v2_estimation_0028,About 504 hours,short_text,arithmetic
HB_EXP1_0032,arithmetic_v2_mental_calculation_0004,24,exact_numeric,arithmetic
HB_EXP1_0033,arithmetic_v2_numerical_reasoning_0042,0.75 and 75% are equal,short_text,arithmetic
HB_EXP1_0034,arithmetic_v2_unit_conversion_0034,1,exact_numeric,arithmetic
HB_EXP1_0035,arithmetic_v2_word_problems_0012,$13,exact_numeric,arithmetic
HB_EXP1_0036,arithmetic_v2_estimation_0028,About 21 days,short_text,arithmetic
HB_EXP1_0037,arithmetic_v2_mental_calculation_0000,158,exact_numeric,arithmetic
HB_EXP1_0038,arithmetic_v2_numerical_reasoning_0049,"1/5 (= 0.2) and 20% are equal, and 0.2 is also equal to them",short_text,arithmetic
HB_EXP1_0039,arithmetic_v2_unit_conversion_0033,900,exact_numeric,arithmetic
HB_EXP1_0040,arithmetic_v2_word_problems_0011,12,exact_numeric,arithmetic
HB_EXP1_0041,arithmetic_v2_estimation_0029,About 1200 components,short_text,arithmetic
HB_EXP1_0042,arithmetic_v2_mental_calculation_0005,172,exact_numeric,arithmetic
HB_EXP1_0043,arithmetic_v2_numerical_reasoning_0046,6,short_text,arithmetic
HB_EXP1_0044,arithmetic_v2_unit_conversion_0030,1.2,exact_numeric,arithmetic
HB_EXP1_0045,arithmetic_v2_word_problems_0010,120,exact_numeric,arithmetic
HB_EXP1_0046,arithmetic_v2_estimation_0023,About 2100 books,short_text,arithmetic
HB_EXP1_0047,arithmetic_v2_mental_calculation_0001,322,exact_numeric,arithmetic
HB_EXP1_0048,arithmetic_v2_numerical_reasoning_0041,$8,short_text,arithmetic
HB_EXP1_0049,factual_v2_cross_domain_trivia_0047,Dinosaur Fossils,short_text,factual
HB_EXP1_0050,factual_v2_culture_0038,Jane Austen,short_text,factual
HB_EXP1_0051,factual_v2_geography_0005,Tokyo,short_text,factual
HB_EXP1_0052,factual_v2_history_0028,Elizabeth I,short_text,factual
HB_EXP1_0053,factual_v2_science_0018,Fossils,short_text,factual
HB_EXP1_0054,factual_v2_cross_domain_trivia_0044,Igneous rock,short_text,factual
HB_EXP1_0055,factual_v2_culture_0032,Ludwig van Beethoven,short_text,factual
HB_EXP1_0056,factual_v2_geography_0008,Beijing,short_text,factual
HB_EXP1_0057,factual_v2_history_0024,Chiang Kai-shek,short_text,factual
HB_EXP1_0058,factual_v2_science_0017,CO2,short_text,factual
HB_EXP1_0059,factual_v2_cross_domain_trivia_0045,H,short_text,factual
HB_EXP1_0060,factual_v2_culture_0031,Vincent van Gogh,short_text,factual
HB_EXP1_0061,factual_v2_geography_0001,Missouri River,short_text,factual
HB_EXP1_0062,factual_v2_history_0025,1666,short_text,factual
HB_EXP1_0063,factual_v2_science_0019,1079252848,short_text,factual
HB_EXP1_0064,factual_v2_cross_domain_trivia_0042,Percy Bysshe Shelley,short_text,factual
HB_EXP1_0065,factual_v2_culture_0034,Thomas Edison,short_text,factual
HB_EXP1_0066,factual_v2_geography_0007,Amazon Rainforest,short_text,factual
HB_EXP1_0067,factual_v2_history_0022,Treaty of Frankfurt,short_text,factual
HB_EXP1_0068,factual_v2_science_0010,Photosynthesis,short_text,factual
HB_EXP1_0069,factual_v2_cross_domain_trivia_0049,Trumpet,short_text,factual
HB_EXP1_0070,factual_v2_culture_0033,Moby-Dick,short_text,factual
HB_EXP1_0071,factual_v2_geography_0002,Antarctic Desert,short_text,factual
HB_EXP1_0072,factual_v2_history_0022,Margaret Thatcher,short_text,factual
HB_EXP1_0073,factual_v2_science_0011,Jupiter,short_text,factual
HB_EXP1_0074,factual_v2_cross_domain_trivia_0046,Aristotle,short_text,factual
HB_EXP1_0075,factual_v2_culture_0014,Ludwig van Beethoven,short_text,factual
HB_EXP1_0076,factual_v2_geography_0003,Ottawa,short_text,factual
HB_EXP1_0077,factual_v2_history_0022,Treaty of Prague,short_text,factual
HB_EXP1_0078,factual_v2_science_0015,Cell,short_text,factual
