item_id,question_id,correct_answer,answer_type,domain
HB_EXP1_0001,arithmetic_v2_estimation_0025,About 6 cookies,short_text,arithmetic
HB_EXP1_0002,arithmetic_v2_numerical_reasoning_0049,"1/10 (= 0.1) and 10% are equal, and 0.1 is also equal to them",short_text,arithmetic
HB_EXP1_0003,arithmetic_v2_unit_conversion_0035,3000,exact_numeric,arithmetic
HB_EXP1_0004,arithmetic_v2_word_problems_0006,"No, he still needs $2",exact_numeric,arithmetic
HB_EXP1_0005,arithmetic_v2_estimation_0025,About 8 stickers,short_text,arithmetic
HB_EXP1_0006,arithmetic_v2_numerical_reasoning_0045,"0.3 is the largest, 0.2 is in the middle, and 30% is the smallest",short_text,arithmetic
HB_EXP1_0007,arithmetic_v2_unit_conversion_0035,0.5,exact_numeric,arithmetic
HB_EXP1_0008,arithmetic_v2_estimation_0025,About 6 pieces,short_text,arithmetic
HB_EXP1_0009,arithmetic_v2_numerical_reasoning_0049,"1/2 (= 0.5) is the largest, 0.4 is in the middle, and 40% is the smallest",short_text,arithmetic
HB_EXP1_0010,arithmetic_v2_unit_conversion_0035,8000,exact_numeric,arithmetic
HB_EXP1_0011,arithmetic_v2_estimation_0022,About 120 hours,short_text,arithmetic
HB_EXP1_0012,arithmetic_v2_numerical_reasoning_0049,"1/4 (= 0.25) and 25% are equal, and 0.25 is also equal to them",short_text,arithmetic
HB_EXP1_0013,arithmetic_v2_unit_conversion_0035,0.3,exact_numeric,arithmetic
HB_EXP1_0014,arithmetic_v2_estimation_0022,About 48 hours,short_text,arithmetic
HB_EXP1_0015,arithmetic_v2_numerical_reasoning_0045,"0.6 is the largest, 0.5 is in the middle, and 60% is the smallest",short_text,arithmetic
HB_EXP1_0016,arithmetic_v2_unit_conversion_0035,1200,exact_numeric,arithmetic
HB_EXP1_0017,arithmetic_v2_estimation_0025,About 12 months,short_text,arithmetic
HB_EXP1_0018,arithmetic_v2_numerical_reasoning_0045,2/3 (approximately 0.67) is equal to 67%,short_text,arithmetic
HB_EXP1_0019,arithmetic_v2_unit_conversion_0035,0.25,exact_numeric,arithmetic
HB_EXP1_0020,arithmetic_v2_estimation_0025,6 months,short_text,arithmetic
HB_EXP1_0021,arithmetic_v2_numerical_reasoning_0049,60% of 30 (18),short_text,arithmetic
HB_EXP1_0022,arithmetic_v2_unit_conversion_0035,15000,exact_numeric,arithmetic
HB_EXP1_0023,arithmetic_v2_estimation_0022,About 336 hours,short_text,arithmetic
HB_EXP1_0024,arithmetic_v2_numerical_reasoning_0045,"1/4 (= 0.25) is equal to 0.25, and 25% is equal to both",short_text,arithmetic
HB_EXP1_0025,arithmetic_v2_unit_conversion_0035,1.2,exact_numeric,arithmetic
HB_EXP1_0026,arithmetic_v2_estimation_0025,About 6 pencils,short_text,arithmetic
HB_EXP1_0027,arithmetic_v2_numerical_reasoning_0016,2/8 (= 0.25),short_text,arithmetic
HB_EXP1_0028,arithmetic_v2_unit_conversion_0035,0.8,exact_numeric,arithmetic
HB_EXP1_0029,arithmetic_v2_estimation_0020,About 240 seconds,short_text,arithmetic
HB_EXP1_0030,arithmetic_v2_numerical_reasoning_0045,"1/2 (= 0.5) is the largest, 0.4 is in the middle, and 50% is the smallest",short_text,arithmetic
HB_EXP1_0031,arithmetic_v2_unit_conversion_0035,0.75,exact_numeric,arithmetic
HB_EXP1_0032,arithmetic_v2_estimation_0020,About 600 seconds,short_text,arithmetic
HB_EXP1_0033,arithmetic_v2_numerical_reasoning_0018,"0.3 is the largest, 20% (= 0.2) is the smallest",short_text,arithmetic
HB_EXP1_0034,arithmetic_v2_unit_conversion_0031,0.15,exact_numeric,arithmetic
HB_EXP1_0035,arithmetic_v2_estimation_0022,24 hours,short_text,arithmetic
HB_EXP1_0036,arithmetic_v2_numerical_reasoning_0049,"1/5 (= 0.2) and 20% are equal, and 0.2 is also equal to them",short_text,arithmetic
HB_EXP1_0037,arithmetic_v2_unit_conversion_0031,0.125,exact_numeric,arithmetic
HB_EXP1_0038,arithmetic_v2_estimation_0025,About 6 stickers,short_text,arithmetic
HB_EXP1_0039,arithmetic_v2_numerical_reasoning_0017,"1/2, 1/4, 1/6",short_text,arithmetic
HB_EXP1_0040,arithmetic_v2_unit_conversion_0031,0.05,exact_numeric,arithmetic
HB_EXP1_0041,arithmetic_v2_estimation_0025,About 24 months,short_text,arithmetic
HB_EXP1_0042,arithmetic_v2_numerical_reasoning_0043,All three are equal,short_text,arithmetic
HB_EXP1_0043,arithmetic_v2_unit_conversion_0031,0.15,exact_numeric,arithmetic
HB_EXP1_0044,arithmetic_v2_estimation_0020,About 14 days,short_text,arithmetic
HB_EXP1_0045,arithmetic_v2_numerical_reasoning_0043,All three are equal,short_text,arithmetic
HB_EXP1_0046,arithmetic_v2_unit_conversion_0031,0.02,exact_numeric,arithmetic
HB_EXP1_0047,arithmetic_v2_estimation_0025,About 6 energy bars,short_text,arithmetic
HB_EXP1_0048,arithmetic_v2_numerical_reasoning_0043,All three are equal,short_text,arithmetic
HB_EXP1_0049,arithmetic_v2_unit_conversion_0031,0.25,exact_numeric,arithmetic
HB_EXP1_0050,arithmetic_v2_estimation_0022,About 144 hours,short_text,arithmetic
HB_EXP1_0051,arithmetic_v2_numerical_reasoning_0043,0.2,short_text,arithmetic
HB_EXP1_0052,arithmetic_v2_unit_conversion_0031,0.2,exact_numeric,arithmetic
HB_EXP1_0053,arithmetic_v2_estimation_0020,About 480 seconds,short_text,arithmetic
HB_EXP1_0054,arithmetic_v2_numerical_reasoning_0043,All three are equal,short_text,arithmetic
HB_EXP1_0055,arithmetic_v2_unit_conversion_0031,0.01,exact_numeric,arithmetic
