item_id,question_id,domain,subcategory,difficulty,empirical_hardness,empirical_hardness_obs,empirical_accuracy,answer_type,question_text
HB_EXP1_0001,arithmetic_v2_estimation_0025,arithmetic,estimation,,1.0,5,0.0,short_text,"If a family wants to share some cookies equally, and they have 60 cookies, about how many cookies will each family member get if there are 10 family members?"
HB_EXP1_0002,arithmetic_v2_numerical_reasoning_0049,arithmetic,numerical_reasoning,,1.0,11,0.0,short_text,"Compare the values of 0.1, 1/10, and 10%."
HB_EXP1_0003,arithmetic_v2_unit_conversion_0035,arithmetic,unit_conversion,,1.0,5,0.0,exact_numeric,"A runner travels 3 kilometers in 1 hour. If you want to know how many meters it traveled, what is the answer in meters?"
HB_EXP1_0004,arithmetic_v2_word_problems_0006,arithmetic,word_problems,,0.75,12,0.25,exact_numeric,Tom has $15 in his pocket. He wants to buy a toy that costs $20. His mom gives him $3. Does Tom have enough money to buy the toy?
HB_EXP1_0005,arithmetic_v2_estimation_0025,arithmetic,estimation,,1.0,5,0.0,short_text,"If a group of siblings want to share some stickers equally, and they have 40 stickers, about how many stickers will each sibling get if there are 5 siblings?"
HB_EXP1_0006,arithmetic_v2_numerical_reasoning_0045,arithmetic,numerical_reasoning,,1.0,10,0.0,short_text,"Compare the values of 0.3, 0.2, and 30%."
HB_EXP1_0007,arithmetic_v2_unit_conversion_0035,arithmetic,unit_conversion,,1.0,5,0.0,exact_numeric,"If you have 500 grams of sugar, how many kilograms is that?"
HB_EXP1_0008,arithmetic_v2_estimation_0025,arithmetic,estimation,,1.0,5,0.0,short_text,"If a group of campers want to share some granola equally, and they have 90 pieces of granola, about how many pieces of granola will each camper get if there are 15 campers?"
HB_EXP1_0009,arithmetic_v2_numerical_reasoning_0049,arithmetic,numerical_reasoning,,1.0,11,0.0,short_text,"Compare the values of 1/2, 0.4, and 40%."
HB_EXP1_0010,arithmetic_v2_unit_conversion_0035,arithmetic,unit_conversion,,1.0,5,0.0,exact_numeric,"A car travels 8 kilometers in 2 hours. If you want to know how many meters it traveled, what is the answer in meters?"
HB_EXP1_0011,arithmetic_v2_estimation_0022,arithmetic,estimation,,1.0,4,0.0,short_text,About how many hours are in a workweek?
HB_EXP1_0012,arithmetic_v2_numerical_reasoning_0049,arithmetic,numerical_reasoning,,1.0,11,0.0,short_text,"Compare the values of 1/4, 0.25, and 25%."
HB_EXP1_0013,arithmetic_v2_unit_conversion_0035,arithmetic,unit_conversion,,1.0,5,0.0,exact_numeric,"If you have 300 grams of tea, how many kilograms is that?"
HB_EXP1_0014,arithmetic_v2_estimation_0022,arithmetic,estimation,,1.0,4,0.0,short_text,About how many hours are in a weekend?
HB_EXP1_0015,arithmetic_v2_numerical_reasoning_0045,arithmetic,numerical_reasoning,,1.0,10,0.0,short_text,"Compare the values of 0.5, 0.6, and 60%."
HB_EXP1_0016,arithmetic_v2_unit_conversion_0035,arithmetic,unit_conversion,,1.0,5,0.0,exact_numeric,"A toy car travels 12 meters in 2 minutes. If you want to know how many centimeters it traveled, what is the answer in centimeters?"
HB_EXP1_0017,arithmetic_v2_estimation_0025,arithmetic,estimation,,1.0,5,0.0,short_text,Roughly how many months are in 1 year?
HB_EXP1_0018,arithmetic_v2_numerical_reasoning_0045,arithmetic,numerical_reasoning,,1.0,10,0.0,short_text,Compare 2/3 and 67%. Which is larger?
HB_EXP1_0019,arithmetic_v2_unit_conversion_0035,arithmetic,unit_conversion,,1.0,5,0.0,exact_numeric,"If you have 250 grams of coffee, how many kilograms is that?"
HB_EXP1_0020,arithmetic_v2_estimation_0025,arithmetic,estimation,,1.0,5,0.0,short_text,"If 1 year is 12 months, how many months are in 0.5 years?"
HB_EXP1_0021,arithmetic_v2_numerical_reasoning_0049,arithmetic,numerical_reasoning,,1.0,11,0.0,short_text,"Which is smallest: 40% of 50, 50% of 40, or 60% of 30?"
HB_EXP1_0022,arithmetic_v2_unit_conversion_0035,arithmetic,unit_conversion,,1.0,5,0.0,exact_numeric,"A bicycle travels 15 kilometers in 1 hour. If you want to know how many meters it traveled, what is the answer in meters?"
HB_EXP1_0023,arithmetic_v2_estimation_0022,arithmetic,estimation,,1.0,4,0.0,short_text,About how many hours are in 2 weeks?
