request_id,final_correct,resolver_type,resolver_decision,resolved_at_utc
EV_0001,1,human,request_more_info,2026-03-01T00:08:00Z
EV_0002,0,human,escalate,2026-03-01T00:15:00Z
EV_0003,1,human,approve,2026-03-01T00:22:00Z
EV_0004,0,human,escalate,2026-03-01T00:29:00Z
EV_0005,1,tool,deny,2026-03-01T00:36:00Z
EV_0006,1,human,request_more_info,2026-03-01T00:43:00Z
EV_0007,0,human,request_more_info,2026-03-01T00:50:00Z
EV_0008,1,tool,approve,2026-03-01T00:57:00Z
EV_0009,1,tool,deny,2026-03-01T01:04:00Z
EV_0010,1,human,approve,2026-03-01T01:11:00Z
EV_0011,1,human,request_more_info,2026-03-01T01:18:00Z
EV_0012,0,tool,deny,2026-03-01T01:25:00Z
EV_0013,0,human,request_more_info,2026-03-01T01:32:00Z
EV_0014,1,human,approve,2026-03-01T01:39:00Z
EV_0015,1,tool,deny,2026-03-01T01:46:00Z
EV_0016,0,human,approve,2026-03-01T01:53:00Z
EV_0017,1,human,approve,2026-03-01T02:00:00Z
EV_0018,1,human,request_more_info,2026-03-01T02:07:00Z
EV_0019,1,human,escalate,2026-03-01T02:14:00Z
EV_0020,1,tool,deny,2026-03-01T02:21:00Z
EV_0021,1,tool,deny,2026-03-01T02:28:00Z
EV_0022,0,human,escalate,2026-03-01T02:35:00Z
EV_0023,0,tool,escalate,2026-03-01T02:42:00Z
EV_0024,0,human,escalate,2026-03-01T02:49:00Z
EV_0025,0,human,deny,2026-03-01T02:56:00Z
EV_0026,1,tool,escalate,2026-03-01T03:03:00Z
EV_0027,1,tool,approve,2026-03-01T03:10:00Z
EV_0028,1,tool,approve,2026-03-01T03:17:00Z
EV_0029,1,human,request_more_info,2026-03-01T03:24:00Z
EV_0030,0,human,escalate,2026-03-01T03:31:00Z
EV_0031,1,human,request_more_info,2026-03-01T03:38:00Z
EV_0032,1,human,escalate,2026-03-01T03:45:00Z
EV_0033,1,tool,approve,2026-03-01T03:52:00Z
EV_0034,1,human,request_more_info,2026-03-01T03:59:00Z
EV_0035,1,tool,approve,2026-03-01T04:06:00Z
EV_0036,1,tool,request_more_info,2026-03-01T04:13:00Z
EV_0037,1,human,request_more_info,2026-03-01T04:20:00Z
EV_0038,0,human,escalate,2026-03-01T04:27:00Z
